date,value,retrieved_at
1904-05-01,6.5,2026-08-09T06:39:58.075864+00:00
1904-06-01,6.51,2026-08-09T06:39:58.075864+00:00
1904-07-01,6.78,2026-08-09T06:39:58.075864+00:00
1904-08-01,7.01,2026-08-09T06:39:58.075864+00:00
1904-09-01,7.32,2026-08-09T06:39:58.075864+00:00
1904-10-01,7.75,2026-08-09T06:39:58.075864+00:00
1904-11-01,8.17,2026-08-09T06:39:58.075864+00:00
1904-12-01,8.25,2026-08-09T06:39:58.075864+00:00
1905-01-01,8.43,2026-08-09T06:39:58.075864+00:00
1905-02-01,8.8,2026-08-09T06:39:58.075864+00:00
1905-03-01,9.05,2026-08-09T06:39:58.075864+00:00
1905-04-01,8.94,2026-08-09T06:39:58.075864+00:00
1905-05-01,8.5,2026-08-09T06:39:58.075864+00:00
1905-06-01,8.6,2026-08-09T06:39:58.075864+00:00
1905-07-01,8.87,2026-08-09T06:39:58.075864+00:00
1905-08-01,9.2,2026-08-09T06:39:58.075864+00:00
1905-09-01,9.23,2026-08-09T06:39:58.075864+00:00
1905-10-01,9.36,2026-08-09T06:39:58.075864+00:00
1905-11-01,9.31,2026-08-09T06:39:58.075864+00:00
1905-12-01,9.54,2026-08-09T06:39:58.075864+00:00
1906-01-01,9.87,2026-08-09T06:39:58.075864+00:00
1906-02-01,9.8,2026-08-09T06:39:58.075864+00:00
1906-03-01,9.56,2026-08-09T06:39:58.075864+00:00
1906-04-01,9.43,2026-08-09T06:39:58.075864+00:00
1906-05-01,9.18,2026-08-09T06:39:58.075864+00:00
1906-06-01,9.3,2026-08-09T06:39:58.075864+00:00
1906-07-01,9.06,2026-08-09T06:39:58.075864+00:00
1906-08-01,9.73,2026-08-09T06:39:58.075864+00:00
1906-09-01,10.03,2026-08-09T06:39:58.075864+00:00
1906-10-01,9.73,2026-08-09T06:39:58.075864+00:00
1906-11-01,9.93,2026-08-09T06:39:58.075864+00:00
1906-12-01,9.84,2026-08-09T06:39:58.075864+00:00
1907-01-01,9.56,2026-08-09T06:39:58.075864+00:00
1907-02-01,9.26,2026-08-09T06:39:58.075864+00:00
1907-03-01,8.35,2026-08-09T06:39:58.075864+00:00
1907-04-01,8.39,2026-08-09T06:39:58.075864+00:00
1907-05-01,8.1,2026-08-09T06:39:58.075864+00:00
1907-06-01,7.84,2026-08-09T06:39:58.075864+00:00
1907-07-01,8.14,2026-08-09T06:39:58.075864+00:00
1907-08-01,7.53,2026-08-09T06:39:58.075864+00:00
1907-09-01,7.45,2026-08-09T06:39:58.075864+00:00
1907-10-01,6.64,2026-08-09T06:39:58.075864+00:00
1907-11-01,6.25,2026-08-09T06:39:58.075864+00:00
1907-12-01,6.57,2026-08-09T06:39:58.075864+00:00
1908-01-01,6.85,2026-08-09T06:39:58.075864+00:00
1908-02-01,6.6,2026-08-09T06:39:58.075864+00:00
1908-03-01,6.87,2026-08-09T06:39:58.075864+00:00
1908-04-01,7.24,2026-08-09T06:39:58.075864+00:00
