date,value,retrieved_at
1890-11-01,7.9,2026-08-09T06:38:28.037897+00:00
1890-12-01,7.9,2026-08-09T06:38:28.037897+00:00
1891-01-01,7.8,2026-08-09T06:38:28.037897+00:00
1891-02-01,7.9,2026-08-09T06:38:28.037897+00:00
1891-03-01,7.99,2026-08-09T06:38:28.037897+00:00
1891-04-01,8.09,2026-08-09T06:38:28.037897+00:00
1891-05-01,7.99,2026-08-09T06:38:28.037897+00:00
1891-06-01,7.8,2026-08-09T06:38:28.037897+00:00
1891-07-01,7.71,2026-08-09T06:38:28.037897+00:00
1891-08-01,7.71,2026-08-09T06:38:28.037897+00:00
1891-09-01,7.61,2026-08-09T06:38:28.037897+00:00
1891-10-01,7.61,2026-08-09T06:38:28.037897+00:00
1891-11-01,7.52,2026-08-09T06:38:28.037897+00:00
1891-12-01,7.52,2026-08-09T06:38:28.037897+00:00
1892-01-01,7.33,2026-08-09T06:38:28.037897+00:00
1892-02-01,7.33,2026-08-09T06:38:28.037897+00:00
1892-03-01,7.14,2026-08-09T06:38:28.037897+00:00
1892-04-01,7.04,2026-08-09T06:38:28.037897+00:00
1892-05-01,7.04,2026-08-09T06:38:28.037897+00:00
1892-06-01,7.04,2026-08-09T06:38:28.037897+00:00
1892-07-01,7.23,2026-08-09T06:38:28.037897+00:00
1892-08-01,7.33,2026-08-09T06:38:28.037897+00:00
1892-09-01,7.33,2026-08-09T06:38:28.037897+00:00
1892-10-01,7.33,2026-08-09T06:38:28.037897+00:00
1892-11-01,7.52,2026-08-09T06:38:28.037897+00:00
1892-12-01,7.61,2026-08-09T06:38:28.037897+00:00
1893-01-01,7.9,2026-08-09T06:38:28.037897+00:00
1893-02-01,7.99,2026-08-09T06:38:28.037897+00:00
1893-03-01,7.8,2026-08-09T06:38:28.037897+00:00
1893-04-01,7.71,2026-08-09T06:38:28.037897+00:00
1893-05-01,7.61,2026-08-09T06:38:28.037897+00:00
1893-06-01,7.42,2026-08-09T06:38:28.037897+00:00
1893-07-01,7.23,2026-08-09T06:38:28.037897+00:00
1893-08-01,6.95,2026-08-09T06:38:28.037897+00:00
1893-09-01,7.23,2026-08-09T06:38:28.037897+00:00
1893-10-01,7.33,2026-08-09T06:38:28.037897+00:00
1893-11-01,7.14,2026-08-09T06:38:28.037897+00:00
1893-12-01,7.04,2026-08-09T06:38:28.037897+00:00
1894-01-01,6.85,2026-08-09T06:38:28.037897+00:00
1894-02-01,6.76,2026-08-09T06:38:28.037897+00:00
1894-03-01,6.57,2026-08-09T06:38:28.037897+00:00
1894-04-01,6.57,2026-08-09T06:38:28.037897+00:00
1894-05-01,6.57,2026-08-09T06:38:28.037897+00:00
1894-06-01,6.57,2026-08-09T06:38:28.037897+00:00
1894-07-01,6.57,2026-08-09T06:38:28.037897+00:00
1894-08-01,6.76,2026-08-09T06:38:28.037897+00:00
1894-09-01,6.85,2026-08-09T06:38:28.037897+00:00
1894-10-01,6.66,2026-08-09T06:38:28.037897+00:00
1894-11-01,6.66,2026-08-09T06:38:28.037897+00:00
1894-12-01,6.57,2026-08-09T06:38:28.037897+00:00
1895-01-01,6.57,2026-08-09T06:38:28.037897+00:00
