date,value,retrieved_at
1909-04-01,14.65,2026-08-09T06:38:28.491494+00:00
1909-05-01,14.95,2026-08-09T06:38:28.491494+00:00
1909-06-01,15.04,2026-08-09T06:38:28.491494+00:00
1909-07-01,15.23,2026-08-09T06:38:28.491494+00:00
1909-08-01,15.42,2026-08-09T06:38:28.491494+00:00
1909-09-01,15.25,2026-08-09T06:38:28.491494+00:00
1909-10-01,14.99,2026-08-09T06:38:28.491494+00:00
1909-11-01,14.75,2026-08-09T06:38:28.491494+00:00
1909-12-01,14.75,2026-08-09T06:38:28.491494+00:00
1910-01-01,14.55,2026-08-09T06:38:28.491494+00:00
1910-02-01,14.0,2026-08-09T06:38:28.491494+00:00
1910-03-01,14.05,2026-08-09T06:38:28.491494+00:00
1910-04-01,13.56,2026-08-09T06:38:28.491494+00:00
1910-05-01,13.57,2026-08-09T06:38:28.491494+00:00
1910-06-01,13.02,2026-08-09T06:38:28.491494+00:00
1910-07-01,12.34,2026-08-09T06:38:28.491494+00:00
1910-08-01,12.75,2026-08-09T06:38:28.491494+00:00
1910-09-01,12.94,2026-08-09T06:38:28.491494+00:00
1910-10-01,13.92,2026-08-09T06:38:28.491494+00:00
1910-11-01,14.16,2026-08-09T06:38:28.491494+00:00
1910-12-01,13.74,2026-08-09T06:38:28.491494+00:00
1911-01-01,14.05,2026-08-09T06:38:28.491494+00:00
1911-02-01,14.72,2026-08-09T06:38:28.491494+00:00
1911-03-01,14.37,2026-08-09T06:38:28.491494+00:00
1911-04-01,14.75,2026-08-09T06:38:28.491494+00:00
1911-05-01,15.05,2026-08-09T06:38:28.491494+00:00
1911-06-01,15.33,2026-08-09T06:38:28.491494+00:00
1911-07-01,15.08,2026-08-09T06:38:28.491494+00:00
1911-08-01,13.9,2026-08-09T06:38:28.491494+00:00
1911-09-01,13.0,2026-08-09T06:38:28.491494+00:00
1911-10-01,13.07,2026-08-09T06:38:28.491494+00:00
1911-11-01,13.73,2026-08-09T06:38:28.491494+00:00
1911-12-01,13.93,2026-08-09T06:38:28.491494+00:00
1912-01-01,13.79,2026-08-09T06:38:28.491494+00:00
1912-02-01,13.53,2026-08-09T06:38:28.491494+00:00
1912-03-01,13.64,2026-08-09T06:38:28.491494+00:00
1912-04-01,13.65,2026-08-09T06:38:28.491494+00:00
1912-05-01,13.65,2026-08-09T06:38:28.491494+00:00
1912-06-01,13.79,2026-08-09T06:38:28.491494+00:00
1912-07-01,13.8,2026-08-09T06:38:28.491494+00:00
1912-08-01,13.98,2026-08-09T06:38:28.491494+00:00
1912-09-01,13.93,2026-08-09T06:38:28.491494+00:00
1912-10-01,13.91,2026-08-09T06:38:28.491494+00:00
1912-11-01,13.75,2026-08-09T06:38:28.491494+00:00
1912-12-01,13.39,2026-08-09T06:38:28.491494+00:00
1913-01-01,13.15,2026-08-09T06:38:28.491494+00:00
1913-02-01,12.68,2026-08-09T06:38:28.491494+00:00
1913-03-01,12.44,2026-08-09T06:38:28.491494+00:00
1913-04-01,12.43,2026-08-09T06:38:28.491494+00:00
1913-05-01,12.22,2026-08-09T06:38:28.491494+00:00
1913-06-01,11.49,2026-08-09T06:38:28.491494+00:00
1913-07-01,11.53,2026-08-09T06:38:28.491494+00:00
1913-08-01,11.85,2026-08-09T06:38:28.491494+00:00
1913-09-01,11.84,2026-08-09T06:38:28.491494+00:00
1913-10-01,11.47,2026-08-09T06:38:28.491494+00:00
1913-11-01,11.07,2026-08-09T06:38:28.491494+00:00
1913-12-01,11.17,2026-08-09T06:38:28.491494+00:00
1914-01-01,11.64,2026-08-09T06:38:28.491494+00:00
1914-02-01,11.91,2026-08-09T06:38:28.491494+00:00
1914-03-01,11.69,2026-08-09T06:38:28.491494+00:00
1914-04-01,11.52,2026-08-09T06:38:28.491494+00:00
1914-05-01,11.48,2026-08-09T06:38:28.491494+00:00
1914-06-01,11.43,2026-08-09T06:38:28.491494+00:00
1914-07-01,10.69,2026-08-09T06:38:28.491494+00:00
1914-08-01,10.49,2026-08-09T06:38:28.491494+00:00
1914-09-01,10.5,2026-08-09T06:38:28.491494+00:00
1914-10-01,10.61,2026-08-09T06:38:28.491494+00:00
1914-11-01,10.52,2026-08-09T06:38:28.491494+00:00
1914-12-01,10.17,2026-08-09T06:38:28.491494+00:00
1915-01-01,10.36,2026-08-09T06:38:28.491494+00:00
1915-02-01,10.33,2026-08-09T06:38:28.491494+00:00
1915-03-01,10.71,2026-08-09T06:38:28.491494+00:00
1915-04-01,11.4,2026-08-09T06:38:28.491494+00:00
1915-05-01,11.03,2026-08-09T06:38:28.491494+00:00
1915-06-01,11.15,2026-08-09T06:38:28.491494+00:00
1915-07-01,11.11,2026-08-09T06:38:28.491494+00:00
1915-08-01,11.58,2026-08-09T06:38:28.491494+00:00
1915-09-01,12.01,2026-08-09T06:38:28.491494+00:00
1915-10-01,12.55,2026-08-09T06:38:28.491494+00:00
1915-11-01,12.86,2026-08-09T06:38:28.491494+00:00
1915-12-01,12.88,2026-08-09T06:38:28.491494+00:00
1916-01-01,12.54,2026-08-09T06:38:28.491494+00:00
1916-02-01,12.35,2026-08-09T06:38:28.491494+00:00
1916-03-01,12.18,2026-08-09T06:38:28.491494+00:00
1916-04-01,11.91,2026-08-09T06:38:28.491494+00:00
1916-05-01,12.03,2026-08-09T06:38:28.491494+00:00
1916-06-01,12.0,2026-08-09T06:38:28.491494+00:00
1916-07-01,11.79,2026-08-09T06:38:28.491494+00:00
1916-08-01,11.73,2026-08-09T06:38:28.491494+00:00
1916-09-01,11.94,2026-08-09T06:38:28.491494+00:00
1916-10-01,12.05,2026-08-09T06:38:28.491494+00:00
1916-11-01,12.05,2026-08-09T06:38:28.491494+00:00
1916-12-01,11.41,2026-08-09T06:38:28.491494+00:00
1917-01-01,10.99,2026-08-09T06:38:28.491494+00:00
1917-02-01,10.06,2026-08-09T06:38:28.491494+00:00
1917-03-01,10.33,2026-08-09T06:38:28.491494+00:00
1917-04-01,9.64,2026-08-09T06:38:28.491494+00:00
